"Source:","C:\Users\pc\Documents\progetto PCB semplice\3Â° versione Kicad\live\Shield Arduino v2-1\Shield Arduino v2-1.kicad_sch"
"Date:","26/06/2022 13:20:24"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","84"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","STANDARD"
"","","ANALOGICI1","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","",""
"","","C1","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C2","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C3","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C4","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C5","865080253012 470uF 10V","SamacSys_lib:875105244013","Capacitor_SMD:CP_Elec_8x6.2","https://www.we-online.com/catalog/datasheet/875105244013.pdf","Wurth Elektronik 470uF Polymer Capacitor 10V dc Surface Mount -865080253012","5.8","","Wurth Elektronik","875105244013","710-875105244013","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/875105244013?qs=0KOYDY2FL29vol3nJUb9dw%3D%3D",""
"","","C6","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C7","1uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C8","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C9","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","C11","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"","","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","",""
"","","D2","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D3","LED_ABRG","Device:LED_ABRG","LED_THT:LED_D5.0mm-4_RGB","~","","","","","","","",""
"","","D6","AQ3530-01FTG","SamacSys_lib:AQ3530-01FTG","SOD2613X100N","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_aq3530-01ftg_datasheet.pdf.pdf","0.3pF 22kV unidirectional TVS diode","1","","LITTELFUSE","AQ3530-01FTG","576-AQ3530-01FTG","https://www.mouser.co.uk/ProductDetail/Littelfuse/AQ3530-01FTG?qs=yqaQSyyJnNi2YblDWyDyIw%3D%3D",""
"","","D7","BAT54T1G","LIBRARY LOADER_AUTO:BAT54T1G","SOD3716X135N","http://www.onsemi.com/pub/Collateral/BAT54T1-D.PDF","","1.35","","onsemi","BAT54T1G","863-BAT54T1G","https://www.mouser.co.uk/ProductDetail/onsemi/BAT54T1G?qs=vLkC5FC1VN9XK%252B%252BtdP3lYw%3D%3D",""
"","","D9","BAT54T1G","LIBRARY LOADER_AUTO:BAT54T1G","SOD3716X135N","http://www.onsemi.com/pub/Collateral/BAT54T1-D.PDF","","1.35","","onsemi","BAT54T1G","863-BAT54T1G","https://www.mouser.co.uk/ProductDetail/onsemi/BAT54T1G?qs=vLkC5FC1VN9XK%252B%252BtdP3lYw%3D%3D",""
"","","Digitali1","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","","","","","","","",""
"","","Digitali2","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","","","",""
"","","ESP8266","SSW-104-01-L-D","SamacSys_Parts:SSW-104-01-L-D","RHDR8W79P254_2X4_1067X495X851P","http://suddendocs.samtec.com/prints/ssw-1xx-xx-xxx-x-xx-xxx-xx-mkt.pdf","8 Position, .100&quot; Tiger Buy&trade; Socket Strip","8.51","","SAMTEC","SSW-104-01-L-D","200-SSW10401LD","https://www.mouser.co.uk/ProductDetail/Samtec/SSW-104-01-L-D/?qs=%252BZP6%2F%252BtExtBqD4BX7Y8soA%3D%3D",""
"","","F1","0ZCH0150FF2E","Device:Polyfuse","Fuse:Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","",""
"","","FID1","Fiducial","Mechanical:Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","","","","","","","",""
"","","FID2","Fiducial","Mechanical:Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","","","","","","","",""
"","","FID3","Fiducial","Mechanical:Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","","","","","","","",""
"","","GPIO2","GPIO2","Connector:TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","~","","","","","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","J1","Conn_01x09","Connector_Generic:Conn_01x09","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~","","","","","","","",""
"","","J2","Conn_01x09","Connector_Generic:Conn_01x09","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~","","","","","","","",""
"","","J3","TERMINAL BLOCK 3 POSIZIONI","SamacSys_Parts:282837-3","LibraryLoaderAuto:TB00950803BE","","Fixed Terminal Blocks 5.08MM PCB MOUNT 3P","10.3","","TE Connectivity","282837-3","571-2828373","https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282837-3?qs=A%252Bip%252BNCYi6PMRxtBYEOSrQ%3D%3D",""
"","","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"","","K1","SRD-05VDC-SL-C","SRD-05VDC-SL-C:SRD-05VDC-SL-C","RELAY_SRD-05VDC-SL-C","","","","SONGLE RELAY","","","","","IPC-7251"
"","","L1","B82442T1685K050","SamacSys_lib:B82442T1685K050","INDPM5850X530N","https://componentsearchengine.com/Datasheets/1/B82442T1685K050.pdf","SMD / SMT Inductors (Coils), L=6800uH, 5.6mm x 5.0mm [EIA 2220]","5.3","","TDK","B82442T1685K050","871-B82442T1685K050","http://www.mouser.com/Search/ProductDetail.aspx?qs=x3Z3Taiycdsue7u9bW7ngg%3d%3d",""
"","","MIC1","CMEJ-0415-42-LP","LibraryLoader:CMEJ-0415-42-LP","LibraryLoaderAuto:CMEJ041542LP","https://componentsearchengine.com/Datasheets/1/CMEJ-0415-42-LP.pdf","Microphones microphone, 4 mm, electret condenser, omnidirectional, Long Pin, 2 Vdc, 42 dB sensitivity","2","","CUI Inc.","CMEJ-0415-42-LP","490-CMEJ-0415-42-LP","https://www.mouser.co.uk/ProductDetail/CUI-Devices/CMEJ-0415-42-LP?qs=PzGy0jfpSMvQKgQIwTg7Mg%3D%3D",""
"","","Power1","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","","","",""
"","","Q1","BC848","Transistor_BJT:BC848","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","","","","","","","",""
"","","Q2","DMN3404L","Transistor_FET:DMN3404L","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/assets/Datasheets/ds31787.pdf","","","","","","","",""
"","","Q3","BC848","Transistor_BJT:BC848","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","","","","","","","",""
"","","Q4","BC848","Transistor_BJT:BC848","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","","","","","","","",""
"","","R1","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R2","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R3","220R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R4","1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R5","220R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R6","220R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R7","2k2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R8","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R9","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R10","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R11","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R12","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R13","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R14","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R15","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R16","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R17","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R18","22k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R19","6k8","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R20","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R21","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R22","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"","","R23","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R24","6k8","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R26","3k3","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R27","1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R28","1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R29","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R30","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R31","2K2","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R32","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R33","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R34","220k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","R35","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~","","","","","","","",""
"","","SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~","","","","","","","",""
"","","TEMP1","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","",""
"","","TEMP2","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","",""
"","","U1","NCP1117-3.3","Regulator_Linear:NCP1117-3.3_TO252","Package_TO_SOT_SMD:TO-252-2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","","","","","",""
"","","U2","LM324DR2G","Amplifier_Operational:LM324","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","","","","","","","",""
"","","U3","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","","","","","","","",""
"","","VR1","PT10MH01-103A2020-S","SamacSys_lib:PT10MH01-103A2020-S","LibraryLoaderAuto:PT10MH01103A2020S","https://www.piher.net/pdf/12-PT10v03.pdf","TRIMMER, 10K, 0.15W, 1TURN; Track Resistance:10kohm; No. of Turns:1Turns; Potentiometer Mounting:Through Hole; Product Range:PT-10 Series; Power Rating:150mW; Resistance Tolerance:+/- 20%; Temperature Coefficient:+/- 300ppm/C; RoHS Compliant: Yes","12.3","","PIHER","PT10MH01-103A2020-S","531-PT10MH-10K-S","https://www.mouser.co.uk/ProductDetail/Amphenol-Piher/PT10MH01-103A2020-S?qs=pCZPOPZMYPhUHYDrMqsu3w%3D%3D",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","STANDARD"
"1","1","ANALOGICI1","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","",""
"2","4","C1, C2, C6, C8","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"3","3","C3, C4, C9","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"4","1","C5","865080253012 470uF 10V","SamacSys_lib:875105244013","Capacitor_SMD:CP_Elec_8x6.2","https://www.we-online.com/catalog/datasheet/875105244013.pdf","Wurth Elektronik 470uF Polymer Capacitor 10V dc Surface Mount -865080253012","5.8","","Wurth Elektronik","875105244013","710-875105244013","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/875105244013?qs=0KOYDY2FL29vol3nJUb9dw%3D%3D",""
"5","1","C7","1uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"6","1","C10","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"7","1","C11","10uF 10V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"8","1","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","",""
"9","1","D2","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"10","1","D3","LED_ABRG","Device:LED_ABRG","LED_THT:LED_D5.0mm-4_RGB","~","","","","","","","",""
"11","1","D6","AQ3530-01FTG","SamacSys_lib:AQ3530-01FTG","SOD2613X100N","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_aq3530-01ftg_datasheet.pdf.pdf","0.3pF 22kV unidirectional TVS diode","1","","LITTELFUSE","AQ3530-01FTG","576-AQ3530-01FTG","https://www.mouser.co.uk/ProductDetail/Littelfuse/AQ3530-01FTG?qs=yqaQSyyJnNi2YblDWyDyIw%3D%3D",""
"12","2","D7, D9","BAT54T1G","LIBRARY LOADER_AUTO:BAT54T1G","SOD3716X135N","http://www.onsemi.com/pub/Collateral/BAT54T1-D.PDF","","1.35","","onsemi","BAT54T1G","863-BAT54T1G","https://www.mouser.co.uk/ProductDetail/onsemi/BAT54T1G?qs=vLkC5FC1VN9XK%252B%252BtdP3lYw%3D%3D",""
"13","1","Digitali1","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","","","","","","","",""
"14","2","Digitali2, Power1","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","","","",""
"15","1","ESP8266","SSW-104-01-L-D","SamacSys_Parts:SSW-104-01-L-D","RHDR8W79P254_2X4_1067X495X851P","http://suddendocs.samtec.com/prints/ssw-1xx-xx-xxx-x-xx-xxx-xx-mkt.pdf","8 Position, .100&quot; Tiger Buy&trade; Socket Strip","8.51","","SAMTEC","SSW-104-01-L-D","200-SSW10401LD","https://www.mouser.co.uk/ProductDetail/Samtec/SSW-104-01-L-D/?qs=%252BZP6%2F%252BtExtBqD4BX7Y8soA%3D%3D",""
"16","1","F1","0ZCH0150FF2E","Device:Polyfuse","Fuse:Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","","","",""
"17","3","FID1, FID2, FID3","Fiducial","Mechanical:Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","","","","","","","",""
"18","1","GPIO2","GPIO2","Connector:TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","~","","","","","","","",""
"19","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"20","2","J1, J2","Conn_01x09","Connector_Generic:Conn_01x09","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~","","","","","","","",""
"21","1","J3","TERMINAL BLOCK 3 POSIZIONI","SamacSys_Parts:282837-3","LibraryLoaderAuto:TB00950803BE","","Fixed Terminal Blocks 5.08MM PCB MOUNT 3P","10.3","","TE Connectivity","282837-3","571-2828373","https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282837-3?qs=A%252Bip%252BNCYi6PMRxtBYEOSrQ%3D%3D",""
"22","1","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"23","1","K1","SRD-05VDC-SL-C","SRD-05VDC-SL-C:SRD-05VDC-SL-C","RELAY_SRD-05VDC-SL-C","","","","SONGLE RELAY","","","","","IPC-7251"
"24","1","L1","B82442T1685K050","SamacSys_lib:B82442T1685K050","INDPM5850X530N","https://componentsearchengine.com/Datasheets/1/B82442T1685K050.pdf","SMD / SMT Inductors (Coils), L=6800uH, 5.6mm x 5.0mm [EIA 2220]","5.3","","TDK","B82442T1685K050","871-B82442T1685K050","http://www.mouser.com/Search/ProductDetail.aspx?qs=x3Z3Taiycdsue7u9bW7ngg%3d%3d",""
"25","1","MIC1","CMEJ-0415-42-LP","LibraryLoader:CMEJ-0415-42-LP","LibraryLoaderAuto:CMEJ041542LP","https://componentsearchengine.com/Datasheets/1/CMEJ-0415-42-LP.pdf","Microphones microphone, 4 mm, electret condenser, omnidirectional, Long Pin, 2 Vdc, 42 dB sensitivity","2","","CUI Inc.","CMEJ-0415-42-LP","490-CMEJ-0415-42-LP","https://www.mouser.co.uk/ProductDetail/CUI-Devices/CMEJ-0415-42-LP?qs=PzGy0jfpSMvQKgQIwTg7Mg%3D%3D",""
"26","3","Q1, Q3, Q4","BC848","Transistor_BJT:BC848","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","","","","","","","",""
"27","1","Q2","DMN3404L","Transistor_FET:DMN3404L","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/assets/Datasheets/ds31787.pdf","","","","","","","",""
"28","2","R1, R2","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"29","3","R3, R5, R6","220R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"30","1","R4","1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"31","1","R7","2k2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"32","3","R8, R15, R17","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"33","4","R9, R10, R12, R20","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"34","4","R11, R14, R16, R21","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"35","1","R13","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"36","1","R18","22k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"37","1","R19","6k8","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"38","1","R22","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","",""
"39","1","R23","100R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"40","1","R24","6k8","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"41","1","R26","3k3","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"42","2","R27, R28","1K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"43","2","R29, R32","0R","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"44","1","R30","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"45","1","R31","2K2","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"46","1","R33","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"47","1","R34","220k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"48","1","R35","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","",""
"49","2","SW1, SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~","","","","","","","",""
"50","2","TEMP1, TEMP2","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","","","",""
"51","1","U1","NCP1117-3.3","Regulator_Linear:NCP1117-3.3_TO252","Package_TO_SOT_SMD:TO-252-2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","","","","","",""
"52","1","U2","LM324DR2G","Amplifier_Operational:LM324","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","","","","","","","",""
"53","1","U3","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","","","","","","","",""
"54","1","VR1","PT10MH01-103A2020-S","SamacSys_lib:PT10MH01-103A2020-S","LibraryLoaderAuto:PT10MH01103A2020S","https://www.piher.net/pdf/12-PT10v03.pdf","TRIMMER, 10K, 0.15W, 1TURN; Track Resistance:10kohm; No. of Turns:1Turns; Potentiometer Mounting:Through Hole; Product Range:PT-10 Series; Power Rating:150mW; Resistance Tolerance:+/- 20%; Temperature Coefficient:+/- 300ppm/C; RoHS Compliant: Yes","12.3","","PIHER","PT10MH01-103A2020-S","531-PT10MH-10K-S","https://www.mouser.co.uk/ProductDetail/Amphenol-Piher/PT10MH01-103A2020-S?qs=pCZPOPZMYPhUHYDrMqsu3w%3D%3D",""
